year,month,circle,type_of_connection,service_provider,value,date
2009,January,All India,wireless,Aircel,16761397,1/1/2009
2009,February,All India,wireless,Aircel,17099390,2/1/2009
2009,March,All India,wireless,Aircel,18478325,3/1/2009
2009,April,All India,wireless,Aircel,19585299,4/1/2009
2009,May,All India,wireless,Aircel,20685711,5/1/2009
2009,June,All India,wireless,Aircel,21798731,6/1/2009
2009,July,All India,wireless,Aircel,23101900,7/1/2009
2009,August,All India,wireless,Aircel,24415514,8/1/2009
2009,September,All India,wireless,Aircel,25728633,9/1/2009
2009,October,All India,wireless,Aircel,27746797,10/1/2009
2009,November,All India,wireless,Aircel,29354370,11/1/2009
2009,December,All India,wireless,Aircel,31023997,12/1/2009
2010,January,All India,wireless,Aircel,33035907,1/1/2010
2013,January,All India,wireless,Aircel,61571291,1/1/2013
2013,February,All India,wireless,Aircel,60872785,2/1/2013
2013,March,All India,wireless,Aircel,60071967,3/1/2013
2013,April,All India,wireless,Aircel,60080216,4/1/2013
2013,May,All India,wireless,Aircel,60358016,5/1/2013
2013,June,All India,wireless,Aircel,60969974,6/1/2013
2013,July,All India,wireless,Aircel,61725497,7/1/2013
2013,August,All India,wireless,Aircel,62602380,8/1/2013
2013,September,All India,wireless,Aircel,63245179,9/1/2013
2013,October,All India,wireless,Aircel,63742291,10/1/2013
2013,November,All India,wireless,Aircel,65283113,11/1/2013
2013,December,All India,wireless,Aircel,66911830,12/1/2013
2014,January,All India,wireless,Aircel,68444071,1/1/2014
2014,February,All India,wireless,Aircel,69147005,2/1/2014
2014,March,All India,wireless,Aircel,70151708,3/1/2014
2014,April,All India,wireless,Aircel,71150121,4/1/2014
2014,May,All India,wireless,Aircel,72092331,5/1/2014
2014,June,All India,wireless,Aircel,73071532,6/1/2014
2014,July,All India,wireless,Aircel,73989247,7/1/2014
2014,August,All India,wireless,Aircel,74894546,8/1/2014
2014,September,All India,wireless,Aircel,75850649,9/1/2014
2014,October,All India,wireless,Aircel,76804652,10/1/2014
2014,November,All India,wireless,Aircel,77757678,11/1/2014
2014,December,All India,wireless,Aircel,78673545,12/1/2014
2015,January,All India,wireless,Aircel,79615899,1/1/2015
2015,February,All India,wireless,Aircel,80531634,2/1/2015
2015,March,All India,wireless,Aircel,81395713,3/1/2015
2015,April,All India,wireless,Aircel,82015141,4/1/2015
2015,May,All India,wireless,Aircel,82735354,5/1/2015
2015,June,All India,wireless,Aircel,83049808,6/1/2015
2015,July,All India,wireless,Aircel,83364687,7/1/2015
2015,August,All India,wireless,Aircel,83748691,8/1/2015
2015,September,All India,wireless,Aircel,83995783,9/1/2015
2015,October,All India,wireless,Aircel,84608669,10/1/2015
2015,November,All India,wireless,Aircel,85018171,11/1/2015
2015,December,All India,wireless,Aircel,85632249,12/1/2015
2016,January,All India,wireless,Aircel,86067262,1/1/2016
2016,February,All India,wireless,Aircel,86677778,2/1/2016
2016,March,All India,wireless,Aircel,87086612,3/1/2016
2016,April,All India,wireless,Aircel,87659481,4/1/2016
2016,May,All India,wireless,Aircel,88261226,5/1/2016
2016,June,All India,wireless,Aircel,88934189,6/1/2016
2016,July,All India,wireless,Aircel,89337792,7/1/2016
2016,August,All India,wireless,Aircel,89714117,8/1/2016
2016,September,All India,wireless,Aircel,90140979,9/1/2016
2016,October,All India,wireless,Aircel,90344161,10/1/2016
2016,November,All India,wireless,Aircel,90646197,11/1/2016
2016,December,All India,wireless,Aircel,90875553,12/1/2016
2017,January,All India,wireless,Aircel,91040305,1/1/2017
2017,February,All India,wireless,Aircel,91053614,2/1/2017
2017,March,All India,wireless,Aircel,90899868,3/1/2017
2017,April,All India,wireless,Aircel,90560441,4/1/2017
2017,May,All India,wireless,Aircel,90733532,5/1/2017
2017,June,All India,wireless,Aircel,90323404,6/1/2017
2017,July,All India,wireless,Aircel,89932083,7/1/2017
2017,August,All India,wireless,Aircel,89146187,8/1/2017
2017,September,All India,wireless,Aircel,88751978,9/1/2017
2017,October,All India,wireless,Aircel,88254714,10/1/2017
2017,November,All India,wireless,Aircel,87588798,11/1/2017
2017,December,All India,wireless,Aircel,84934658,12/1/2017
2018,January,All India,wireless,Aircel,81442905,1/1/2018
2018,February,All India,wireless,Aircel,78924682,2/1/2018
2018,March,All India,wireless,Aircel,74152299,3/1/2018
2018,April,All India,wireless,Aircel,74152299,4/1/2018
2009,June,Andhra Pradesh,wireless,Aircel,194176,6/1/2009
2009,July,Andhra Pradesh,wireless,Aircel,275416,7/1/2009
2009,August,Andhra Pradesh,wireless,Aircel,348885,8/1/2009
2009,September,Andhra Pradesh,wireless,Aircel,513316,9/1/2009
2009,October,Andhra Pradesh,wireless,Aircel,614100,10/1/2009
2009,November,Andhra Pradesh,wireless,Aircel,636593,11/1/2009
2009,December,Andhra Pradesh,wireless,Aircel,654782,12/1/2009
2010,January,Andhra Pradesh,wireless,Aircel,713305,1/1/2010
2013,January,Andhra Pradesh,wireless,Aircel,1802320,1/1/2013
2013,February,Andhra Pradesh,wireless,Aircel,1737528,2/1/2013
2013,March,Andhra Pradesh,wireless,Aircel,1762191,3/1/2013
2013,April,Andhra Pradesh,wireless,Aircel,1866104,4/1/2013
2013,May,Andhra Pradesh,wireless,Aircel,1834635,5/1/2013
2013,June,Andhra Pradesh,wireless,Aircel,1798359,6/1/2013
2013,July,Andhra Pradesh,wireless,Aircel,1850546,7/1/2013
2013,August,Andhra Pradesh,wireless,Aircel,1852215,8/1/2013
2013,September,Andhra Pradesh,wireless,Aircel,1858428,9/1/2013
2013,October,Andhra Pradesh,wireless,Aircel,1886892,10/1/2013
2013,November,Andhra Pradesh,wireless,Aircel,1905991,11/1/2013
2013,December,Andhra Pradesh,wireless,Aircel,1915091,12/1/2013
2014,January,Andhra Pradesh,wireless,Aircel,1940154,1/1/2014
2014,February,Andhra Pradesh,wireless,Aircel,1952623,2/1/2014
2014,March,Andhra Pradesh,wireless,Aircel,2010488,3/1/2014
2014,April,Andhra Pradesh,wireless,Aircel,2017392,4/1/2014
2014,May,Andhra Pradesh,wireless,Aircel,2036496,5/1/2014
2014,June,Andhra Pradesh,wireless,Aircel,2077121,6/1/2014
2014,July,Andhra Pradesh,wireless,Aircel,2127382,7/1/2014
2014,August,Andhra Pradesh,wireless,Aircel,2171267,8/1/2014
2014,September,Andhra Pradesh,wireless,Aircel,2204855,9/1/2014
2014,October,Andhra Pradesh,wireless,Aircel,2245654,10/1/2014
2014,November,Andhra Pradesh,wireless,Aircel,2286045,11/1/2014
2014,December,Andhra Pradesh,wireless,Aircel,2349727,12/1/2014
2015,January,Andhra Pradesh,wireless,Aircel,2520511,1/1/2015
2015,February,Andhra Pradesh,wireless,Aircel,2570046,2/1/2015
2015,March,Andhra Pradesh,wireless,Aircel,2608951,3/1/2015
2015,April,Andhra Pradesh,wireless,Aircel,2652133,4/1/2015
2015,May,Andhra Pradesh,wireless,Aircel,2721283,5/1/2015
2015,June,Andhra Pradesh,wireless,Aircel,2752856,6/1/2015
2015,July,Andhra Pradesh,wireless,Aircel,2797575,7/1/2015
2015,August,Andhra Pradesh,wireless,Aircel,2792549,8/1/2015
2015,September,Andhra Pradesh,wireless,Aircel,2773130,9/1/2015
2015,October,Andhra Pradesh,wireless,Aircel,2797644,10/1/2015
2015,November,Andhra Pradesh,wireless,Aircel,2799910,11/1/2015
2015,December,Andhra Pradesh,wireless,Aircel,2814331,12/1/2015
2016,January,Andhra Pradesh,wireless,Aircel,2818861,1/1/2016
2016,February,Andhra Pradesh,wireless,Aircel,2780988,2/1/2016
2016,March,Andhra Pradesh,wireless,Aircel,2725320,3/1/2016
2016,April,Andhra Pradesh,wireless,Aircel,2685198,4/1/2016
2016,May,Andhra Pradesh,wireless,Aircel,2690406,5/1/2016
2016,June,Andhra Pradesh,wireless,Aircel,2701875,6/1/2016
2016,July,Andhra Pradesh,wireless,Aircel,2558752,7/1/2016
2016,August,Andhra Pradesh,wireless,Aircel,2503649,8/1/2016
2016,September,Andhra Pradesh,wireless,Aircel,2515070,9/1/2016
2016,October,Andhra Pradesh,wireless,Aircel,2530099,10/1/2016
2016,November,Andhra Pradesh,wireless,Aircel,2533740,11/1/2016
2016,December,Andhra Pradesh,wireless,Aircel,2544880,12/1/2016
2017,January,Andhra Pradesh,wireless,Aircel,2547676,1/1/2017
2017,February,Andhra Pradesh,wireless,Aircel,2593866,2/1/2017
2017,March,Andhra Pradesh,wireless,Aircel,2614825,3/1/2017
2017,April,Andhra Pradesh,wireless,Aircel,2611465,4/1/2017
2017,May,Andhra Pradesh,wireless,Aircel,2615845,5/1/2017
2017,June,Andhra Pradesh,wireless,Aircel,2626198,6/1/2017
2017,July,Andhra Pradesh,wireless,Aircel,2608564,7/1/2017
2017,August,Andhra Pradesh,wireless,Aircel,2603930,8/1/2017
2017,September,Andhra Pradesh,wireless,Aircel,2569213,9/1/2017
2017,October,Andhra Pradesh,wireless,Aircel,2539727,10/1/2017
2017,November,Andhra Pradesh,wireless,Aircel,2503802,11/1/2017
2017,December,Andhra Pradesh,wireless,Aircel,2455229,12/1/2017
2018,January,Andhra Pradesh,wireless,Aircel,2315578,1/1/2018
2018,February,Andhra Pradesh,wireless,Aircel,2280719,2/1/2018
2018,March,Andhra Pradesh,wireless,Aircel,2152478,3/1/2018
2018,April,Andhra Pradesh,wireless,Aircel,2152478,4/1/2018
2009,January,Arunachal Pradesh,wireless,Aircel,33258,1/1/2009
2009,February,Arunachal Pradesh,wireless,Aircel,33258,2/1/2009
2009,March,Arunachal Pradesh,wireless,Aircel,33258,3/1/2009
2009,April,Arunachal Pradesh,wireless,Aircel,86350,4/1/2009
2009,May,Arunachal Pradesh,wireless,Aircel,157237,5/1/2009
2009,January,Assam,wireless,Aircel,1596902,1/1/2009
2009,February,Assam,wireless,Aircel,1597016,2/1/2009
2009,March,Assam,wireless,Aircel,1704933,3/1/2009
2009,April,Assam,wireless,Aircel,1808533,4/1/2009
2009,May,Assam,wireless,Aircel,1880377,5/1/2009
2009,June,Assam,wireless,Aircel,1897990,6/1/2009
2009,July,Assam,wireless,Aircel,1945455,7/1/2009
2009,August,Assam,wireless,Aircel,2025604,8/1/2009
2009,September,Assam,wireless,Aircel,2078925,9/1/2009
2009,October,Assam,wireless,Aircel,2135216,10/1/2009
2009,November,Assam,wireless,Aircel,2191321,11/1/2009
2009,December,Assam,wireless,Aircel,2208292,12/1/2009
2010,January,Assam,wireless,Aircel,2366416,1/1/2010
2013,January,Assam,wireless,Aircel,3550416,1/1/2013
2013,February,Assam,wireless,Aircel,3489733,2/1/2013
2013,March,Assam,wireless,Aircel,3507159,3/1/2013
2013,April,Assam,wireless,Aircel,3533844,4/1/2013
2013,May,Assam,wireless,Aircel,3520120,5/1/2013
2013,June,Assam,wireless,Aircel,3547608,6/1/2013
2013,July,Assam,wireless,Aircel,3573058,7/1/2013
2013,August,Assam,wireless,Aircel,3591253,8/1/2013
2013,September,Assam,wireless,Aircel,3588972,9/1/2013
2013,October,Assam,wireless,Aircel,3624514,10/1/2013
2013,November,Assam,wireless,Aircel,3662358,11/1/2013
2013,December,Assam,wireless,Aircel,3688411,12/1/2013
2014,January,Assam,wireless,Aircel,3706030,1/1/2014
2014,February,Assam,wireless,Aircel,3721951,2/1/2014
2014,March,Assam,wireless,Aircel,3754874,3/1/2014
2014,April,Assam,wireless,Aircel,3788583,4/1/2014
2014,May,Assam,wireless,Aircel,3825438,5/1/2014
2014,June,Assam,wireless,Aircel,3858881,6/1/2014
2014,July,Assam,wireless,Aircel,3890231,7/1/2014
2014,August,Assam,wireless,Aircel,3923704,8/1/2014
2014,September,Assam,wireless,Aircel,4003311,9/1/2014
2014,October,Assam,wireless,Aircel,4063771,10/1/2014
2014,November,Assam,wireless,Aircel,4138943,11/1/2014
2014,December,Assam,wireless,Aircel,4231441,12/1/2014
2015,January,Assam,wireless,Aircel,4261340,1/1/2015
2015,February,Assam,wireless,Aircel,4321870,2/1/2015
2015,March,Assam,wireless,Aircel,4403721,3/1/2015
2015,April,Assam,wireless,Aircel,4416991,4/1/2015
2015,May,Assam,wireless,Aircel,4500525,5/1/2015
2015,June,Assam,wireless,Aircel,4567562,6/1/2015
2015,July,Assam,wireless,Aircel,4623231,7/1/2015
2015,August,Assam,wireless,Aircel,4659886,8/1/2015
2015,September,Assam,wireless,Aircel,4676910,9/1/2015
2015,October,Assam,wireless,Aircel,4728356,10/1/2015
2015,November,Assam,wireless,Aircel,4784443,11/1/2015
2015,December,Assam,wireless,Aircel,4853001,12/1/2015
2016,January,Assam,wireless,Aircel,4944278,1/1/2016
2016,February,Assam,wireless,Aircel,5077054,2/1/2016
2016,March,Assam,wireless,Aircel,5109583,3/1/2016
2016,April,Assam,wireless,Aircel,5263651,4/1/2016
2016,May,Assam,wireless,Aircel,5354792,5/1/2016
2016,June,Assam,wireless,Aircel,5432338,6/1/2016
2016,July,Assam,wireless,Aircel,5494490,7/1/2016
2016,August,Assam,wireless,Aircel,5526825,8/1/2016
2016,September,Assam,wireless,Aircel,5567244,9/1/2016
2016,October,Assam,wireless,Aircel,5598124,10/1/2016
2016,November,Assam,wireless,Aircel,5622743,11/1/2016
2016,December,Assam,wireless,Aircel,5663035,12/1/2016
2017,January,Assam,wireless,Aircel,5814988,1/1/2017
2017,February,Assam,wireless,Aircel,5807277,2/1/2017
2017,March,Assam,wireless,Aircel,5825332,3/1/2017
2017,April,Assam,wireless,Aircel,5836146,4/1/2017
2017,May,Assam,wireless,Aircel,5863632,5/1/2017
2017,June,Assam,wireless,Aircel,5884454,6/1/2017
2017,July,Assam,wireless,Aircel,5884219,7/1/2017
2017,August,Assam,wireless,Aircel,5897517,8/1/2017
2017,September,Assam,wireless,Aircel,5891209,9/1/2017
2017,October,Assam,wireless,Aircel,5898707,10/1/2017
2017,November,Assam,wireless,Aircel,5903813,11/1/2017
2017,December,Assam,wireless,Aircel,5892499,12/1/2017
2018,January,Assam,wireless,Aircel,5840961,1/1/2018
2018,February,Assam,wireless,Aircel,5811412,2/1/2018
2018,March,Assam,wireless,Aircel,5723781,3/1/2018
2018,April,Assam,wireless,Aircel,5723781,4/1/2018
2009,January,Bihar,wireless,Aircel,1306046,1/1/2009
2009,February,Bihar,wireless,Aircel,1306311,2/1/2009
2009,March,Bihar,wireless,Aircel,1402825,3/1/2009
2009,April,Bihar,wireless,Aircel,1462983,4/1/2009
2009,May,Bihar,wireless,Aircel,1502738,5/1/2009
2009,June,Bihar,wireless,Aircel,1658696,6/1/2009
2009,July,Bihar,wireless,Aircel,1900784,7/1/2009
2009,August,Bihar,wireless,Aircel,2096167,8/1/2009
2009,September,Bihar,wireless,Aircel,2310852,9/1/2009
2009,October,Bihar,wireless,Aircel,2409926,10/1/2009
2009,November,Bihar,wireless,Aircel,2558809,11/1/2009
2009,December,Bihar,wireless,Aircel,2769654,12/1/2009
2010,January,Bihar,wireless,Aircel,2841955,1/1/2010
2013,January,Bihar,wireless,Aircel,4767543,1/1/2013
2013,February,Bihar,wireless,Aircel,4708622,2/1/2013
2013,March,Bihar,wireless,Aircel,4659654,3/1/2013
2013,April,Bihar,wireless,Aircel,4704294,4/1/2013
2013,May,Bihar,wireless,Aircel,4623325,5/1/2013
2013,June,Bihar,wireless,Aircel,4711600,6/1/2013
2013,July,Bihar,wireless,Aircel,4617713,7/1/2013
2013,August,Bihar,wireless,Aircel,4549294,8/1/2013
2013,September,Bihar,wireless,Aircel,4677210,9/1/2013
2013,October,Bihar,wireless,Aircel,4520428,10/1/2013
2013,November,Bihar,wireless,Aircel,4769018,11/1/2013
2013,December,Bihar,wireless,Aircel,4956916,12/1/2013
2014,January,Bihar,wireless,Aircel,5177910,1/1/2014
2014,February,Bihar,wireless,Aircel,5217201,2/1/2014
2014,March,Bihar,wireless,Aircel,5284236,3/1/2014
2014,April,Bihar,wireless,Aircel,5329597,4/1/2014
2014,May,Bihar,wireless,Aircel,5332821,5/1/2014
2014,June,Bihar,wireless,Aircel,5336519,6/1/2014
2014,July,Bihar,wireless,Aircel,5392248,7/1/2014
2014,August,Bihar,wireless,Aircel,5417636,8/1/2014
2014,September,Bihar,wireless,Aircel,5442632,9/1/2014
2014,October,Bihar,wireless,Aircel,5532012,10/1/2014
2014,November,Bihar,wireless,Aircel,5594229,11/1/2014
2014,December,Bihar,wireless,Aircel,5674192,12/1/2014
2015,January,Bihar,wireless,Aircel,5805761,1/1/2015
2015,February,Bihar,wireless,Aircel,5958492,2/1/2015
2015,March,Bihar,wireless,Aircel,6094617,3/1/2015
2015,April,Bihar,wireless,Aircel,6176059,4/1/2015
2015,May,Bihar,wireless,Aircel,6235856,5/1/2015
2015,June,Bihar,wireless,Aircel,6345387,6/1/2015
2015,July,Bihar,wireless,Aircel,6434716,7/1/2015
2015,August,Bihar,wireless,Aircel,6551982,8/1/2015
2015,September,Bihar,wireless,Aircel,6767721,9/1/2015
2015,October,Bihar,wireless,Aircel,6803970,10/1/2015
2015,November,Bihar,wireless,Aircel,6824955,11/1/2015
2015,December,Bihar,wireless,Aircel,6854934,12/1/2015
2016,January,Bihar,wireless,Aircel,6926829,1/1/2016
2016,February,Bihar,wireless,Aircel,6968769,2/1/2016
2016,March,Bihar,wireless,Aircel,7065809,3/1/2016
2016,April,Bihar,wireless,Aircel,7143837,4/1/2016
2016,May,Bihar,wireless,Aircel,7194973,5/1/2016
2016,June,Bihar,wireless,Aircel,7249253,6/1/2016
2016,July,Bihar,wireless,Aircel,7285922,7/1/2016
2016,August,Bihar,wireless,Aircel,7304133,8/1/2016
2016,September,Bihar,wireless,Aircel,7346370,9/1/2016
2016,October,Bihar,wireless,Aircel,7371054,10/1/2016
2016,November,Bihar,wireless,Aircel,7393257,11/1/2016
2016,December,Bihar,wireless,Aircel,7436130,12/1/2016
2017,January,Bihar,wireless,Aircel,7466488,1/1/2017
2017,February,Bihar,wireless,Aircel,7554303,2/1/2017
2017,March,Bihar,wireless,Aircel,7558894,3/1/2017
2017,April,Bihar,wireless,Aircel,7576749,4/1/2017
2017,May,Bihar,wireless,Aircel,7587484,5/1/2017
2017,June,Bihar,wireless,Aircel,7613870,6/1/2017
2017,July,Bihar,wireless,Aircel,7590074,7/1/2017
2017,August,Bihar,wireless,Aircel,7548595,8/1/2017
2017,September,Bihar,wireless,Aircel,7559227,9/1/2017
2017,October,Bihar,wireless,Aircel,7545651,10/1/2017
2017,November,Bihar,wireless,Aircel,7523944,11/1/2017
2017,December,Bihar,wireless,Aircel,7549103,12/1/2017
2018,January,Bihar,wireless,Aircel,7361102,1/1/2018
2018,February,Bihar,wireless,Aircel,7301632,2/1/2018
2018,March,Bihar,wireless,Aircel,7240203,3/1/2018
2018,April,Bihar,wireless,Aircel,7240203,4/1/2018
2009,January,Chennai,wireless,Aircel,2385017,1/1/2009
2009,February,Chennai,wireless,Aircel,2384229,2/1/2009
2009,March,Chennai,wireless,Aircel,2534480,3/1/2009
2009,April,Chennai,wireless,Aircel,2582580,4/1/2009
2009,May,Chennai,wireless,Aircel,2613806,5/1/2009
2009,June,Chennai,wireless,Aircel,2650046,6/1/2009
2009,July,Chennai,wireless,Aircel,2694833,7/1/2009
2009,August,Chennai,wireless,Aircel,2713614,8/1/2009
2009,September,Chennai,wireless,Aircel,2729490,9/1/2009
2009,October,Chennai,wireless,Aircel,2792953,10/1/2009
2009,November,Chennai,wireless,Aircel,2887498,11/1/2009
2009,December,Chennai,wireless,Aircel,2926191,12/1/2009
2010,January,Chennai,wireless,Aircel,2995172,1/1/2010
2009,January,Delhi,wireless,Aircel,28798,1/1/2009
2009,February,Delhi,wireless,Aircel,28798,2/1/2009
2009,March,Delhi,wireless,Aircel,28798,3/1/2009
2009,April,Delhi,wireless,Aircel,140010,4/1/2009
2009,May,Delhi,wireless,Aircel,239254,5/1/2009
2009,June,Delhi,wireless,Aircel,326658,6/1/2009
2009,July,Delhi,wireless,Aircel,397965,7/1/2009
2009,August,Delhi,wireless,Aircel,475205,8/1/2009
2009,September,Delhi,wireless,Aircel,546606,9/1/2009
2009,October,Delhi,wireless,Aircel,606894,10/1/2009
2009,November,Delhi,wireless,Aircel,646184,11/1/2009
2009,December,Delhi,wireless,Aircel,770353,12/1/2009
2010,January,Delhi,wireless,Aircel,874437,1/1/2010
2013,January,Delhi,wireless,Aircel,2850948,1/1/2013
2013,February,Delhi,wireless,Aircel,2977541,2/1/2013
2013,March,Delhi,wireless,Aircel,2942096,3/1/2013
2013,April,Delhi,wireless,Aircel,2852613,4/1/2013
2013,May,Delhi,wireless,Aircel,2886113,5/1/2013
2013,June,Delhi,wireless,Aircel,2956149,6/1/2013
2013,July,Delhi,wireless,Aircel,3014411,7/1/2013
2013,August,Delhi,wireless,Aircel,3103217,8/1/2013
2013,September,Delhi,wireless,Aircel,3133898,9/1/2013
2013,October,Delhi,wireless,Aircel,3158515,10/1/2013
2013,November,Delhi,wireless,Aircel,3336075,11/1/2013
2013,December,Delhi,wireless,Aircel,3616425,12/1/2013
2014,January,Delhi,wireless,Aircel,3778488,1/1/2014
2014,February,Delhi,wireless,Aircel,3772898,2/1/2014
2014,March,Delhi,wireless,Aircel,3837083,3/1/2014
2014,April,Delhi,wireless,Aircel,3887964,4/1/2014
2014,May,Delhi,wireless,Aircel,4041036,5/1/2014
2014,June,Delhi,wireless,Aircel,4140021,6/1/2014
2014,July,Delhi,wireless,Aircel,4284324,7/1/2014
2014,August,Delhi,wireless,Aircel,4384389,8/1/2014
2014,September,Delhi,wireless,Aircel,4511028,9/1/2014
2014,October,Delhi,wireless,Aircel,4599984,10/1/2014
2014,November,Delhi,wireless,Aircel,4636511,11/1/2014
2014,December,Delhi,wireless,Aircel,4713338,12/1/2014
2015,January,Delhi,wireless,Aircel,4920892,1/1/2015
2015,February,Delhi,wireless,Aircel,5020480,2/1/2015
2015,March,Delhi,wireless,Aircel,5139800,3/1/2015
2015,April,Delhi,wireless,Aircel,5228190,4/1/2015
2015,May,Delhi,wireless,Aircel,5280604,5/1/2015
2015,June,Delhi,wireless,Aircel,5394596,6/1/2015
2015,July,Delhi,wireless,Aircel,5527509,7/1/2015
2015,August,Delhi,wireless,Aircel,5636710,8/1/2015
2015,September,Delhi,wireless,Aircel,5892684,9/1/2015
2015,October,Delhi,wireless,Aircel,5934306,10/1/2015
2015,November,Delhi,wireless,Aircel,6028960,11/1/2015
2015,December,Delhi,wireless,Aircel,6104002,12/1/2015
2016,January,Delhi,wireless,Aircel,6168663,1/1/2016
2016,February,Delhi,wireless,Aircel,6279187,2/1/2016
2016,March,Delhi,wireless,Aircel,6327144,3/1/2016
2016,April,Delhi,wireless,Aircel,6354618,4/1/2016
2016,May,Delhi,wireless,Aircel,6422280,5/1/2016
2016,June,Delhi,wireless,Aircel,6458607,6/1/2016
2016,July,Delhi,wireless,Aircel,6528812,7/1/2016
2016,August,Delhi,wireless,Aircel,6588147,8/1/2016
2016,September,Delhi,wireless,Aircel,6616495,9/1/2016
2016,October,Delhi,wireless,Aircel,6663544,10/1/2016
2016,November,Delhi,wireless,Aircel,6687695,11/1/2016
2016,December,Delhi,wireless,Aircel,6731212,12/1/2016
2017,January,Delhi,wireless,Aircel,6749177,1/1/2017
2017,February,Delhi,wireless,Aircel,6830343,2/1/2017
2017,March,Delhi,wireless,Aircel,6879107,3/1/2017
2017,April,Delhi,wireless,Aircel,6896054,4/1/2017
2017,May,Delhi,wireless,Aircel,6931758,5/1/2017
2017,June,Delhi,wireless,Aircel,6929408,6/1/2017
2017,July,Delhi,wireless,Aircel,6900962,7/1/2017
2017,August,Delhi,wireless,Aircel,6882321,8/1/2017
2017,September,Delhi,wireless,Aircel,6876667,9/1/2017
2017,October,Delhi,wireless,Aircel,6863331,10/1/2017
2017,November,Delhi,wireless,Aircel,6796403,11/1/2017
2017,December,Delhi,wireless,Aircel,6763176,12/1/2017
2018,January,Delhi,wireless,Aircel,6576054,1/1/2018
2018,February,Delhi,wireless,Aircel,6463337,2/1/2018
2018,March,Delhi,wireless,Aircel,6112896,3/1/2018
2018,April,Delhi,wireless,Aircel,6112896,4/1/2018
2013,January,Gujarat,wireless,Aircel,294655,1/1/2013
2013,February,Gujarat,wireless,Aircel,285773,2/1/2013
2013,March,Gujarat,wireless,Aircel,185773,3/1/2013
2013,April,Gujarat,wireless,Aircel,35773,4/1/2013
2013,May,Gujarat,wireless,Aircel,35773,5/1/2013
2013,June,Gujarat,wireless,Aircel,35773,6/1/2013
2013,July,Gujarat,wireless,Aircel,35773,7/1/2013
2013,August,Gujarat,wireless,Aircel,35773,8/1/2013
2013,September,Gujarat,wireless,Aircel,35773,9/1/2013
2013,October,Gujarat,wireless,Aircel,35773,10/1/2013
2013,November,Gujarat,wireless,Aircel,30773,11/1/2013
2013,December,Gujarat,wireless,Aircel,30773,12/1/2013
2014,January,Gujarat,wireless,Aircel,30773,1/1/2014
2014,February,Gujarat,wireless,Aircel,30773,2/1/2014
2014,March,Gujarat,wireless,Aircel,28563,3/1/2014
2014,April,Gujarat,wireless,Aircel,23563,4/1/2014
2014,May,Gujarat,wireless,Aircel,23563,5/1/2014
2014,June,Gujarat,wireless,Aircel,22063,6/1/2014
2014,July,Gujarat,wireless,Aircel,22063,7/1/2014
2014,August,Gujarat,wireless,Aircel,18563,8/1/2014
2014,September,Gujarat,wireless,Aircel,18563,9/1/2014
2014,October,Gujarat,wireless,Aircel,18563,10/1/2014
2014,November,Gujarat,wireless,Aircel,18563,11/1/2014
2014,December,Gujarat,wireless,Aircel,18563,12/1/2014
2015,January,Gujarat,wireless,Aircel,18063,1/1/2015
2015,February,Gujarat,wireless,Aircel,17063,2/1/2015
2015,March,Gujarat,wireless,Aircel,17063,3/1/2015
2015,April,Gujarat,wireless,Aircel,17063,4/1/2015
2015,May,Gujarat,wireless,Aircel,17063,5/1/2015
2015,June,Gujarat,wireless,Aircel,17063,6/1/2015
2015,July,Gujarat,wireless,Aircel,17063,7/1/2015
2015,August,Gujarat,wireless,Aircel,17063,8/1/2015
2015,September,Gujarat,wireless,Aircel,17063,9/1/2015
2015,October,Gujarat,wireless,Aircel,17063,10/1/2015
2015,November,Gujarat,wireless,Aircel,17063,11/1/2015
2015,December,Gujarat,wireless,Aircel,17063,12/1/2015
2016,January,Gujarat,wireless,Aircel,17063,1/1/2016
2016,February,Gujarat,wireless,Aircel,17063,2/1/2016
2016,March,Gujarat,wireless,Aircel,17063,3/1/2016
2016,April,Gujarat,wireless,Aircel,17063,4/1/2016
2016,May,Gujarat,wireless,Aircel,17063,5/1/2016
2016,June,Gujarat,wireless,Aircel,17063,6/1/2016
2016,July,Gujarat,wireless,Aircel,17063,7/1/2016
2016,August,Gujarat,wireless,Aircel,17063,8/1/2016
2016,September,Gujarat,wireless,Aircel,17063,9/1/2016
2016,October,Gujarat,wireless,Aircel,17063,10/1/2016
2016,November,Gujarat,wireless,Aircel,17063,11/1/2016
2016,December,Gujarat,wireless,Aircel,17063,12/1/2016
2017,January,Gujarat,wireless,Aircel,17063,1/1/2017
2017,February,Gujarat,wireless,Aircel,17063,2/1/2017
2017,March,Gujarat,wireless,Aircel,17063,3/1/2017
2017,April,Gujarat,wireless,Aircel,17063,4/1/2017
2017,May,Gujarat,wireless,Aircel,17063,5/1/2017
2017,June,Gujarat,wireless,Aircel,17063,6/1/2017
2017,July,Gujarat,wireless,Aircel,15467,7/1/2017
2017,August,Gujarat,wireless,Aircel,15467,8/1/2017
2017,September,Gujarat,wireless,Aircel,17005,9/1/2017
2017,October,Gujarat,wireless,Aircel,15459,10/1/2017
2017,November,Gujarat,wireless,Aircel,15227,11/1/2017
2017,December,Gujarat,wireless,Aircel,15227,12/1/2017
2018,January,Gujarat,wireless,Aircel,63,1/1/2018
2018,February,Gujarat,wireless,Aircel,63,2/1/2018
2018,March,Gujarat,wireless,Aircel,63,3/1/2018
